,Batch,Product,Batch_Time(m),Min_Batch_Time(m),Time_Sigma(m),Batch_Time,Min_Batch_Time,Time_Sigma,Total_Downtime,Counts_Downtime
0,422144,CO-2L,152.0,98,54.0,0 days 02:32:00,0 days 01:38:00,0 days 00:54:00,56.0,2
1,422145,CO-2L,120.0,98,22.0,0 days 02:00:00,0 days 01:38:00,0 days 00:22:00,23.0,1
2,422146,CO-2L,160.0,98,62.0,0 days 02:40:00,0 days 01:38:00,0 days 01:02:00,65.0,3
3,422147,CO-2L,205.0,98,107.0,0 days 03:25:00,0 days 01:38:00,0 days 01:47:00,110.0,3
4,422148,CO-2L,130.0,98,32.0,0 days 02:10:00,0 days 01:38:00,0 days 00:32:00,34.0,2
5,422118,CO-600,120.0,60,60.0,0 days 02:00:00,0 days 01:00:00,0 days 01:00:00,64.0,4
6,422119,CO-600,85.0,60,25.0,0 days 01:25:00,0 days 01:00:00,0 days 00:25:00,26.0,1
7,422120,CO-600,112.0,60,52.0,0 days 01:52:00,0 days 01:00:00,0 days 00:52:00,55.0,3
8,422121,CO-600,75.0,60,15.0,0 days 01:15:00,0 days 01:00:00,0 days 00:15:00,16.0,1
9,422122,CO-600,85.0,60,25.0,0 days 01:25:00,0 days 01:00:00,0 days 00:25:00,26.0,1
10,422123,CO-600,133.0,60,73.0,0 days 02:13:00,0 days 01:00:00,0 days 01:13:00,75.0,2
11,422124,CO-600,100.0,60,40.0,0 days 01:40:00,0 days 01:00:00,0 days 00:40:00,42.0,2
12,422125,CO-600,80.0,60,20.0,0 days 01:20:00,0 days 01:00:00,0 days 00:20:00,22.0,2
13,422126,CO-600,104.0,60,44.0,0 days 01:44:00,0 days 01:00:00,0 days 00:44:00,45.0,1
14,422127,CO-600,83.0,60,23.0,0 days 01:23:00,0 days 01:00:00,0 days 00:23:00,24.0,1
15,422128,CO-600,112.0,60,52.0,0 days 01:52:00,0 days 01:00:00,0 days 00:52:00,54.0,2
16,422129,CO-600,75.0,60,15.0,0 days 01:15:00,0 days 01:00:00,0 days 00:15:00,16.0,1
17,422130,CO-600,80.0,60,20.0,0 days 01:20:00,0 days 01:00:00,0 days 00:20:00,21.0,1
18,422131,CO-600,90.0,60,30.0,0 days 01:30:00,0 days 01:00:00,0 days 00:30:00,32.0,2
19,422132,CO-600,60.0,60,0.0,0 days 01:00:00,0 days 01:00:00,0 days 00:00:00,0.0,0
20,422133,DC-600,80.0,60,20.0,0 days 01:20:00,0 days 01:00:00,0 days 00:20:00,21.0,1
21,422134,DC-600,110.0,60,50.0,0 days 01:50:00,0 days 01:00:00,0 days 00:50:00,52.0,2
22,422135,DC-600,105.0,60,45.0,0 days 01:45:00,0 days 01:00:00,0 days 00:45:00,47.0,2
23,422136,DC-600,60.0,60,0.0,0 days 01:00:00,0 days 01:00:00,0 days 00:00:00,0.0,0
24,422112,LE-600,100.0,60,40.0,0 days 01:40:00,0 days 01:00:00,0 days 00:40:00,42.0,2
25,422113,LE-600,110.0,60,50.0,0 days 01:50:00,0 days 01:00:00,0 days 00:50:00,51.0,1
26,422114,LE-600,100.0,60,40.0,0 days 01:40:00,0 days 01:00:00,0 days 00:40:00,42.0,2
27,422115,LE-600,84.0,60,24.0,0 days 01:24:00,0 days 01:00:00,0 days 00:24:00,25.0,1
28,422116,LE-600,60.0,60,0.0,0 days 01:00:00,0 days 01:00:00,0 days 00:00:00,0.0,0
29,422117,LE-600,75.0,60,15.0,0 days 01:15:00,0 days 01:00:00,0 days 00:15:00,17.0,2
30,422111,OR-600,135.0,60,75.0,0 days 02:15:00,0 days 01:00:00,0 days 01:15:00,77.0,2
